scenario_id,employee_id,expected_issue_type,issue_category,payroll_date,deposit_date,expected_payroll_amount,expected_recordkeeper_amount,planted_change,expected_detection,demo_explanation,correction_action,notes
COMP_MATCH_OVER,E100011,Over-match from excluded compensation included,Compensation/Match,2025-03-14,,170.61,,Employer match increased above expected 80.61.,compensation_match_issues.csv and match_issues.csv,The employer match is higher than expected and should be reviewed before funding corrections are finalized.,Confirm eligible compensation and determine whether match dollars need to be reversed or reclassified.,Current ProofLink match analyzers use the branch's single-rate match model for this demo.
COMP_MATCH_UNDER,E100010,Under-match from compensation definition variance,Compensation/Match,2025-03-14,,3.73,,Employer match reduced from expected 78.73.,compensation_match_issues.csv and match_issues.csv,The employer match is lower than the plan formula would normally produce for this payroll.,Review payroll setup and calculate whether an employer match true-up or corrective contribution is needed.,Same participant may also appear in match_issues.csv because both current match analyzers inspect employer match variance.
DEFERRAL_MISMATCH,E100001,DEFERRAL_MISMATCH,Core Reconciliation,2025-02-14,2025-02-18,125.34,167.34,Recordkeeper employee deferral amount increased by 42.00 for one payroll.,deferral_mismatches.csv,Payroll and recordkeeper contribution amounts do not agree for the participant.,Compare payroll funding to RK posting and correct the source amount or posting if needed.,
DEFERRAL_MISMATCH,E100002,DEFERRAL_MISMATCH,Core Reconciliation,2025-02-14,2025-02-18,129.22,171.22,Recordkeeper employee deferral amount increased by 42.00 for one payroll.,deferral_mismatches.csv,Payroll and recordkeeper contribution amounts do not agree for the participant.,Compare payroll funding to RK posting and correct the source amount or posting if needed.,
EMPLOYMENT_STATUS_CONFLICT,E100007,EMPLOYMENT_STATUS_CONFLICT,Population Validation,2025-01-03,,Active,terminated,Payroll active status conflicts with recordkeeper terminated status.,population_validation_issues.csv,The same employee is active in payroll but terminated at the recordkeeper.,Ask plan operations to confirm the correct status and update the source system that is wrong.,
LATE_CONTRIBUTION,E100005,LATE_CONTRIBUTION,Contribution Timing,2025-01-31,2025-02-13,2025-01-31,2025-02-13,Recordkeeper deposit date delayed to nine business days after payroll.,late_contributions.csv,The contribution was deposited after the demo's five-business-day timing threshold.,Confirm actual funding date and document or correct the late deposit as required.,
LATE_CONTRIBUTION,E100006,LATE_CONTRIBUTION,Contribution Timing,2025-01-31,2025-02-13,2025-01-31,2025-02-13,Recordkeeper deposit date delayed to nine business days after payroll.,late_contributions.csv,The contribution was deposited after the demo's five-business-day timing threshold.,Confirm actual funding date and document or correct the late deposit as required.,
LOAN_MISMATCH,E100003,LOAN_MISMATCH,Core Reconciliation,2025-02-28,2025-03-04,85.00,55.00,Recordkeeper loan repayment reduced by 30.00 for one payroll.,loan_mismatches.csv,The loan repayment withheld from payroll is higher than the amount posted at the recordkeeper.,Review loan repayment posting and remit or correct the missing repayment if confirmed.,
ONLY_IN_PAYROLL,E100004,ONLY_IN_PAYROLL,Core Reconciliation,2025-01-03,,136.18,,Participant appears in payroll but has no recordkeeper contribution rows.,only_in_payroll_deferrals.csv,"Payroll shows a participant with deferrals, but the recordkeeper file has no matching participant activity.",Confirm whether the participant was omitted from the recordkeeper file or whether payroll should be corrected.,The timing analyzer also surfaces this participant's eight payroll rows as missing deposits.
ONLY_IN_RECORDKEEPER,RKONLY202501,ONLY_IN_RECORDKEEPER,Core Reconciliation,2025-02-14,2025-02-18,,250.00,Recordkeeper-only participant inserted without payroll rows.,only_in_recordkeeper_deferrals.csv,The recordkeeper file includes a participant contribution that does not appear in payroll.,"Confirm whether this belongs to another payroll file, another employer, or a recordkeeper data error.",The timing analyzer also surfaces this as one unmatched recordkeeper row.
POST_TERMINATION_COMPENSATION,E100008,POST_TERMINATION_COMPENSATION,Population Validation,2025-02-28,,1800.00,2025-01-15,Positive compensation appears more than 30 days after the RK termination date.,population_validation_issues.csv,"Payroll includes compensation after the recordkeeper termination date, which merits review.",Confirm whether the payment is valid post-termination compensation or a payroll status/data issue.,
SECURE20_HCE_PRETAX_CATCHUP,E100009,HCE catch-up not coded as Roth,Secure 2.0,2025-03-14,,850.00,,HCE catch-up contribution coded to pretax instead of Roth.,secure20_violations.csv,"An age-50-plus HCE has catch-up dollars in the pretax source, which should be reviewed under Secure 2.0.",Confirm HCE status and reclassify catch-up dollars to Roth if required.,
