scenario_id,employee_id,exception_type,issue_category,engine_area,source_file,pay_period_number,pay_date,expected_detection,future_only,description,planted_payroll_value,planted_recordkeeper_value,notes
COMP_MATCH_OVER,E100231,Over-match from excluded compensation included,Compensation/Match,compensation_match_auditor,payroll,12,2025-06-06,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately above expected formula amount.,402.63,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_OVER,E100232,Over-match from excluded compensation included,Compensation/Match,compensation_match_auditor,payroll,12,2025-06-06,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately above expected formula amount.,279.50,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_OVER,E100233,Over-match from excluded compensation included,Compensation/Match,compensation_match_auditor,payroll,12,2025-06-06,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately above expected formula amount.,277.88,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_OVER,E100234,Over-match from excluded compensation included,Compensation/Match,compensation_match_auditor,payroll,12,2025-06-06,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately above expected formula amount.,287.08,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_UNDER,E100211,Under-match from compensation definition variance,Compensation/Match,compensation_match_auditor,payroll,9,2025-04-25,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately below the configured 50% up to 6% formula.,0.00,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_UNDER,E100212,Under-match from compensation definition variance,Compensation/Match,compensation_match_auditor,payroll,9,2025-04-25,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately below the configured 50% up to 6% formula.,28.19,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_UNDER,E100213,Under-match from compensation definition variance,Compensation/Match,compensation_match_auditor,payroll,9,2025-04-25,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately below the configured 50% up to 6% formula.,0.00,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_UNDER,E100214,Under-match from compensation definition variance,Compensation/Match,compensation_match_auditor,payroll,9,2025-04-25,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately below the configured 50% up to 6% formula.,4.61,,Current engine-supported when compensation match plan rules are supplied.
DEFERRAL_MISMATCH,E100005,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,124.86,162.36,
DEFERRAL_MISMATCH,E100006,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,568.83,606.33,
DEFERRAL_MISMATCH,E100007,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,0.00,37.50,
DEFERRAL_MISMATCH,E100008,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,0.00,37.50,
DEFERRAL_MISMATCH,E100009,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,233.15,270.65,
DEFERRAL_MISMATCH,E100010,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,229.15,266.65,
EMPLOYMENT_STATUS_CONFLICT,E100091,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EMPLOYMENT_STATUS_CONFLICT,E100092,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EMPLOYMENT_STATUS_CONFLICT,E100093,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EMPLOYMENT_STATUS_CONFLICT,E100094,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EMPLOYMENT_STATUS_CONFLICT,E100095,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EXCESS_402G,E100151,EXCESS_402G_DEFERRAL,Comp/402(g),comp_402g_analyzer,payroll,,,comp_402g_violations.csv,false,Annual employee deferrals deliberately exceed the 2025 402(g) limit.,26000.00,,Current engine-supported annual limit scenario.
EXCESS_402G,E100152,EXCESS_402G_DEFERRAL,Comp/402(g),comp_402g_analyzer,payroll,,,comp_402g_violations.csv,false,Annual employee deferrals deliberately exceed the 2025 402(g) limit.,26000.00,,Current engine-supported annual limit scenario.
EXCESS_402G,E100153,EXCESS_402G_DEFERRAL,Comp/402(g),comp_402g_analyzer,payroll,,,comp_402g_violations.csv,false,Annual employee deferrals deliberately exceed the 2025 402(g) limit.,26000.00,,Current engine-supported annual limit scenario.
EXCESS_402G,E100154,EXCESS_402G_DEFERRAL,Comp/402(g),comp_402g_analyzer,payroll,,,comp_402g_violations.csv,false,Annual employee deferrals deliberately exceed the 2025 402(g) limit.,26000.00,,Current engine-supported annual limit scenario.
EXCLUDED_CLASS_MATCH,E100251,Match paid to excluded employee class,Compensation/Match,compensation_match_auditor,payroll,8,2025-04-11,compensation_match_issues.csv when plan_match_config is supplied,false,Excluded employee class deliberately received employer match.,90.00,,Current engine-supported when compensation match plan rules are supplied.
EXCLUDED_CLASS_MATCH,E100252,Match paid to excluded employee class,Compensation/Match,compensation_match_auditor,payroll,8,2025-04-11,compensation_match_issues.csv when plan_match_config is supplied,false,Excluded employee class deliberately received employer match.,90.00,,Current engine-supported when compensation match plan rules are supplied.
EXCLUDED_CLASS_MATCH,E100253,Match paid to excluded employee class,Compensation/Match,compensation_match_auditor,payroll,8,2025-04-11,compensation_match_issues.csv when plan_match_config is supplied,false,Excluded employee class deliberately received employer match.,90.00,,Current engine-supported when compensation match plan rules are supplied.
LATE_CONTRIBUTION,E100041,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100042,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100043,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100044,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100045,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100046,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100047,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LATE_CONTRIBUTION,E100048,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LOAN_MISMATCH,E100021,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,142.63,120.63,
LOAN_MISMATCH,E100022,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,103.49,81.49,
LOAN_MISMATCH,E100023,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,175.46,153.46,
LOAN_MISMATCH,E100024,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,91.67,69.67,
LOAN_MISMATCH,E100025,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,91.23,69.23,
LOAN_MISMATCH,E100026,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,10,2025-05-09,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,52.64,30.64,
ONLY_IN_PAYROLL,E100066,ONLY_IN_PAYROLL,Core Reconciliation,reconcile_stream,payroll,,,only_in_payroll_deferrals.csv and only_in_payroll_loans.csv,false,Participant deliberately omitted from the recordkeeper file.,,,Current ProofLink payroll-only reconciliation behavior.
ONLY_IN_PAYROLL,E100067,ONLY_IN_PAYROLL,Core Reconciliation,reconcile_stream,payroll,,,only_in_payroll_deferrals.csv and only_in_payroll_loans.csv,false,Participant deliberately omitted from the recordkeeper file.,,,Current ProofLink payroll-only reconciliation behavior.
ONLY_IN_PAYROLL,E100068,ONLY_IN_PAYROLL,Core Reconciliation,reconcile_stream,payroll,,,only_in_payroll_deferrals.csv and only_in_payroll_loans.csv,false,Participant deliberately omitted from the recordkeeper file.,,,Current ProofLink payroll-only reconciliation behavior.
ONLY_IN_RECORDKEEPER,RKONLY202501,ONLY_IN_RECORDKEEPER,Core Reconciliation,reconcile_stream,recordkeeper,6,2025-03-14,only_in_recordkeeper_deferrals.csv and only_in_recordkeeper_loans.csv,false,Recordkeeper-only participant deliberately inserted without payroll rows.,,250.00,Current ProofLink recordkeeper-only reconciliation behavior.
ONLY_IN_RECORDKEEPER,RKONLY202502,ONLY_IN_RECORDKEEPER,Core Reconciliation,reconcile_stream,recordkeeper,7,2025-03-28,only_in_recordkeeper_deferrals.csv and only_in_recordkeeper_loans.csv,false,Recordkeeper-only participant deliberately inserted without payroll rows.,,275.00,Current ProofLink recordkeeper-only reconciliation behavior.
ONLY_IN_RECORDKEEPER,RKONLY202503,ONLY_IN_RECORDKEEPER,Core Reconciliation,reconcile_stream,recordkeeper,8,2025-04-11,only_in_recordkeeper_deferrals.csv and only_in_recordkeeper_loans.csv,false,Recordkeeper-only participant deliberately inserted without payroll rows.,,300.00,Current ProofLink recordkeeper-only reconciliation behavior.
POST_TERMINATION_COMPENSATION,E100121,POST_TERMINATION_COMPENSATION,Population Validation,population_validation_analyzer,"payroll,recordkeeper",14,2025-07-04,population_validation_issues.csv,false,Positive compensation deliberately appears more than 30 days after RK termination date.,1800.00,2025-01-01,
POST_TERMINATION_COMPENSATION,E100122,POST_TERMINATION_COMPENSATION,Population Validation,population_validation_analyzer,"payroll,recordkeeper",14,2025-07-04,population_validation_issues.csv,false,Positive compensation deliberately appears more than 30 days after RK termination date.,1800.00,2025-01-01,
POST_TERMINATION_COMPENSATION,E100123,POST_TERMINATION_COMPENSATION,Population Validation,population_validation_analyzer,"payroll,recordkeeper",14,2025-07-04,population_validation_issues.csv,false,Positive compensation deliberately appears more than 30 days after RK termination date.,1800.00,2025-01-01,
POST_TERMINATION_COMPENSATION,E100124,POST_TERMINATION_COMPENSATION,Population Validation,population_validation_analyzer,"payroll,recordkeeper",14,2025-07-04,population_validation_issues.csv,false,Positive compensation deliberately appears more than 30 days after RK termination date.,1800.00,2025-01-01,
