scenario_id,employee_id,exception_type,issue_category,engine_area,source_file,pay_period_number,pay_date,expected_detection,future_only,description,planted_payroll_value,planted_recordkeeper_value,notes
COMP_MATCH_OVER,E100014,Over-match from excluded compensation included,Compensation/Match,compensation_match_auditor,payroll,4,2025-02-14,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately above expected formula amount.,473.69,,Current engine-supported when compensation match plan rules are supplied.
COMP_MATCH_UNDER,E100013,Under-match from compensation definition variance,Compensation/Match,compensation_match_auditor,payroll,4,2025-02-14,compensation_match_issues.csv when plan_match_config is supplied,false,Employer match deliberately below the configured 50% up to 6% formula.,0.00,,Current engine-supported when compensation match plan rules are supplied.
DEFERRAL_MISMATCH,E100005,DEFERRAL_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,4,2025-02-14,deferral_mismatches.csv,false,Recordkeeper pretax contribution deliberately increased for one period.,124.86,162.36,
EMPLOYMENT_STATUS_CONFLICT,E100009,EMPLOYMENT_STATUS_CONFLICT,Population Validation,population_validation_analyzer,"payroll,recordkeeper",,,population_validation_issues.csv,false,Payroll active status conflicts with recordkeeper terminated status.,Active,terminated,
EXCESS_402G,E100011,EXCESS_402G_DEFERRAL,Comp/402(g),comp_402g_analyzer,payroll,,,comp_402g_violations.csv,false,Annual employee deferrals deliberately exceed the 2025 402(g) limit.,4000.00,,Current engine-supported annual limit scenario.
EXCLUDED_CLASS_MATCH,E100015,Match paid to excluded employee class,Compensation/Match,compensation_match_auditor,payroll,4,2025-02-14,compensation_match_issues.csv when plan_match_config is supplied,false,Excluded employee class deliberately received employer match.,90.00,,Current engine-supported when compensation match plan rules are supplied.
LATE_CONTRIBUTION,E100007,LATE_CONTRIBUTION,Contribution Timing,contribution_timing_analyzer_v2,recordkeeper,1,2025-01-03,late_contributions.csv / late_deferrals_contributions.csv,false,Recordkeeper deposit deliberately delayed beyond timing threshold.,2025-01-03,2025-01-16,
LOAN_MISMATCH,E100006,LOAN_MISMATCH,Core Reconciliation,reconcile_stream,recordkeeper,4,2025-02-14,loan_mismatches.csv,false,Recordkeeper loan repayment deliberately lower than payroll for one period.,79.51,57.51,
ONLY_IN_PAYROLL,E100008,ONLY_IN_PAYROLL,Core Reconciliation,reconcile_stream,payroll,,,only_in_payroll_deferrals.csv and only_in_payroll_loans.csv,false,Participant deliberately omitted from the recordkeeper file.,,,Current ProofLink payroll-only reconciliation behavior.
ONLY_IN_RECORDKEEPER,RKONLY202501,ONLY_IN_RECORDKEEPER,Core Reconciliation,reconcile_stream,recordkeeper,4,2025-02-14,only_in_recordkeeper_deferrals.csv and only_in_recordkeeper_loans.csv,false,Recordkeeper-only participant deliberately inserted without payroll rows.,,250.00,Current ProofLink recordkeeper-only reconciliation behavior.
POST_TERMINATION_COMPENSATION,E100010,POST_TERMINATION_COMPENSATION,Population Validation,population_validation_analyzer,"payroll,recordkeeper",4,2025-02-14,population_validation_issues.csv,false,Positive compensation deliberately appears more than 30 days after RK termination date.,0.00,2025-01-01,
SECURE20_HCE_PRETAX_CATCHUP,E100012,HCE_PRETAX_CATCHUP_NOT_ROTH,Secure 2.0,secure20_catchup_analyzer,payroll,4,2025-02-14,secure20_exceptions.csv,false,HCE age 50+ catch-up deliberately coded pretax instead of Roth.,850.00,,Current engine-supported Secure 2.0 catch-up scenario.
